generation,timestamp,num_trees,avg_fitness,max_fitness,min_fitness,fitness_std,unique_architectures,avg_tree_age,total_data_allocated,competition_events,trees_pruned,trees_planted,selection_rate,disruption_type,disruption_severity,survival_rate,avg_training_loss,avg_learning_rate
1,1767473246.488952,6,4.877232923923514,4.886109795295303,4.871144849865843,0.005003744915852279,1,0.0,100,1,0,1,0.0,,0.0,1.0,1.138350635766983,0.01
2,1767473246.4955535,7,4.779018059741239,4.8703709193289955,4.748930436246629,0.0397517349862004,1,0.0,100,2,0,0,0.0,,0.0,1.0,1.2102677864687783,0.01
3,1767473246.5002832,7,4.674665709920568,4.804968100186057,4.626558365392378,0.057076451107702875,1,0.0,100,3,0,0,0.0,,0.0,1.0,0.9805455378123692,0.01
4,1767473246.505031,7,4.5633601614309285,4.675517363490273,4.5132098402920535,0.05277803008537077,1,0.0,100,4,0,0,0.0,,0.0,1.0,1.193841508456639,0.01
5,1767473246.5097864,7,4.45913286642501,4.561439656877987,4.401839614183181,0.05068494766429541,1,0.0,100,5,0,0,0.0,,0.0,1.0,0.9974600332123893,0.01
6,1767473246.514538,7,4.359260503962981,4.449050215478959,4.3048122574347945,0.044803748259025465,1,0.0,100,6,0,0,0.0,,0.0,1.0,1.0966223861489977,0.01
7,1767473246.519252,7,4.262032676555673,4.351163503281533,4.200006491228338,0.05088862191393627,1,0.0,100,7,0,0,0.0,,0.0,1.0,1.0279656393187386,0.01
8,1767473246.5240026,7,4.168682260055075,4.249365096268215,4.101876235435867,0.04907446859822754,1,0.0,100,8,0,0,0.0,,0.0,1.0,0.9160125936780658,0.01
9,1767473246.528673,7,4.068627438843387,4.145756723219361,3.998432317182381,0.04888518132451486,1,0.0,100,9,0,0,0.0,,0.0,1.0,1.3140597087996346,0.01
10,1767473246.5333476,7,3.980906017500066,4.067684300859872,3.9117817917911295,0.05482030303977086,1,0.0,100,10,0,0,0.0,,0.0,1.0,1.0119404196739197,0.01
11,1767473246.538691,7,3.90081000433567,3.9780180262399174,3.81714577014909,0.047198220021555846,1,0.0,100,11,2,0,0.2857142857142857,,0.0,1.0,0.9339521655014583,0.01
12,1767473246.5428483,5,3.8311388351018776,3.8774807903189457,3.792689663556315,0.029401832638382308,1,0.0,100,12,0,0,0.0,,0.0,1.0,1.2778746962547303,0.01
13,1767473246.5465968,5,3.748175548369678,3.8041695725875875,3.704898929102845,0.03367424642136677,1,0.0,100,13,0,0,0.0,,0.0,1.0,0.9843353629112244,0.01
14,1767473246.5501132,5,3.6686734103565355,3.722001276576839,3.610767330163042,0.04182865754217846,1,0.0,100,14,0,0,0.0,,0.0,1.0,1.0772121727466584,0.01
15,1767473246.5535917,5,3.5837994931069863,3.629125051590048,3.5305291711792446,0.038039884761160714,1,0.0,100,15,0,0,0.0,,0.0,1.0,1.2171753644943237,0.01
