generation,timestamp,num_trees,avg_fitness,max_fitness,min_fitness,fitness_std,unique_architectures,avg_tree_age,total_data_allocated,competition_events,trees_pruned,trees_planted,selection_rate,disruption_type,disruption_severity,survival_rate,avg_training_loss,avg_learning_rate
1,1767473246.8152583,6,4.887740508473832,4.900408921238751,4.8777011713206,0.007458813835594713,1,0.0,100,1,0,1,0.0,,0.0,1.0,0.8253799577554067,0.01
2,1767473246.821304,7,4.78725865923262,4.873277751900709,4.756112227469977,0.036705012645039774,1,0.0,100,2,0,0,0.0,,0.0,1.0,1.0560236147471838,0.01
3,1767473246.8259711,7,4.6766616733165005,4.754762822216411,4.636821999681656,0.03918787501193706,1,0.0,100,3,0,0,0.0,,0.0,1.0,1.1602073524679457,0.01
4,1767473246.8306189,7,4.568941976415964,4.646251348024913,4.525028994347952,0.04101301568425383,1,0.0,100,4,0,0,0.0,,0.0,1.0,0.9453578421047756,0.01
5,1767473246.8360026,7,4.4654864048560645,4.539514698612907,4.416274057158923,0.041423022001862875,1,0.0,100,5,0,0,0.0,,0.0,1.0,1.042542678969247,0.01
6,1767473246.840657,7,4.367981364592568,4.4655170850937225,4.299189807031766,0.051201723529595684,1,0.0,50,6,0,0,0.0,drought,0.5,1.0,1.1304698586463928,0.01
7,1767473246.8454385,7,4.2615799343524445,4.361430740012068,4.192773732553321,0.0505636759702334,1,0.0,100,7,0,0,0.0,,0.0,1.0,1.2455237252371651,0.01
8,1767473246.8501348,7,4.170477443901396,4.249764828485285,4.108191695665464,0.047323915721868434,1,0.0,100,8,0,0,0.0,,0.0,1.0,0.9864682810647147,0.01
9,1767473246.8548667,7,4.0807096975071415,4.139178526904538,4.02095339051929,0.045362989079752294,1,0.0,100,9,0,0,0.0,,0.0,1.0,0.9653155037334987,0.01
10,1767473246.8594992,7,3.991957114668403,4.049383997318957,3.926812852271005,0.048867545803922954,1,0.0,100,10,0,0,0.0,,0.0,1.0,1.0211194242749895,0.01
11,1767473246.8640838,7,3.9239531242557213,3.9756144152341264,3.8458007577774085,0.04926065724815957,1,0.0,50,11,2,0,0.2857142857142857,drought,0.5,1.0,0.8011027702263424,0.01
12,1767473246.8681371,5,3.8600013244479525,3.879817849522384,3.8349639054923643,0.015194677212543712,1,0.0,100,12,0,0,0.0,,0.0,1.0,1.3303441643714904,0.01
13,1767473246.8716857,5,3.785065367737185,3.8095415547988694,3.7638715812278805,0.01659419249748704,1,0.0,100,13,0,1,0.0,,0.0,1.0,0.9484919965267181,0.01
14,1767473246.8769531,6,3.8972566855648982,4.867968776017011,3.6775885145292664,0.4343755863125916,1,0.0,100,14,0,0,0.0,,0.0,1.0,1.0952868163585663,0.01
15,1767473246.8810415,6,3.808177299492572,4.754257188327903,3.5872880234255744,0.42359557856715696,1,0.0,100,15,0,0,0.0,,0.0,1.0,1.2660541633764903,0.01
16,1767473246.885095,6,3.7240755549807623,4.6405076139000965,3.518561204629249,0.41030520236489704,1,0.0,50,16,0,0,0.0,drought,0.5,1.0,1.0178309977054596,0.01
17,1767473246.889317,6,3.648195755569152,4.538054420947366,3.4454926971841533,0.39841755379444854,1,0.0,100,17,0,0,0.0,,0.0,1.0,0.9635306894779205,0.01
18,1767473246.8934112,6,3.5770763070343627,4.428939832817241,3.377669718562044,0.3815961944273794,1,0.0,100,18,0,0,0.0,,0.0,1.0,0.8743478457132975,0.01
19,1767473246.89752,6,3.499728303896711,4.3258127484557445,3.3166892102841983,0.3699762807820344,1,0.0,100,19,0,0,0.0,,0.0,1.0,1.1601089934508007,0.01
20,1767473246.9016,6,3.4285256788178686,4.237993308194028,3.252149360660253,0.3625061591209765,1,0.0,100,20,0,0,0.0,,0.0,1.0,0.9195498526096344,0.01
21,1767473246.9057448,6,3.360887510446286,4.145591099288239,3.168454705821065,0.3519464328391714,1,0.0,50,21,1,0,0.16666666666666666,drought,0.5,1.0,1.0074746112028758,0.01
22,1767473246.9096868,5,3.3252446311398827,4.048890970135164,3.1191289447609476,0.36271655970408223,1,0.0,100,22,0,0,0.0,,0.0,1.0,1.1497418522834777,0.01
23,1767473246.9131901,5,3.2546999509565966,3.9526577011488584,3.04154261678751,0.3501533319241423,1,0.0,100,23,0,0,0.0,,0.0,1.0,1.1799018859863282,0.01
24,1767473246.9166362,5,3.193270177576772,3.8782459704766734,2.9787335704988473,0.34403954669807557,1,0.0,100,24,0,0,0.0,,0.0,1.0,0.867364478111267,0.01
25,1767473246.92022,5,3.126211420171894,3.787604312991575,2.929861191988969,0.33170284975848074,1,0.0,100,25,0,1,0.0,,0.0,1.0,1.1001755595207214,0.01
26,1767473246.9254873,6,3.398586888518246,4.876001115394197,2.8592356863692787,0.7201399473846437,1,0.0,50,26,0,0,0.0,drought,0.5,1.0,0.8730816667278608,0.01
27,1767473246.9296715,6,3.330470965518646,4.748555178592667,2.8134546179885076,0.6908767870350473,1,0.0,100,27,0,0,0.0,,0.0,1.0,1.0438314825296402,0.01
28,1767473246.933841,6,3.268108049002011,4.640008840118582,2.7508191814274605,0.6669801610720517,1,0.0,100,28,0,0,0.0,,0.0,1.0,0.9981306542952856,0.01
29,1767473246.9379654,6,3.199162241381522,4.519570877752286,2.6906390627706696,0.6424663113079012,1,0.0,100,29,0,0,0.0,,0.0,1.0,1.0970881481965382,0.01
30,1767473246.94204,6,3.1379319535302295,4.407436954819634,2.638959239103021,0.6178893213872395,1,0.0,100,30,0,0,0.0,,0.0,1.0,0.9501820604006449,0.01
31,1767473246.9460943,6,3.0883446341264467,4.324240064616257,2.6022433622476533,0.5963673673615459,1,0.0,50,31,1,0,0.16666666666666666,drought,0.5,1.0,0.9055966089169184,0.01
