generation,timestamp,num_trees,avg_fitness,max_fitness,min_fitness,fitness_std,unique_architectures,avg_tree_age,total_data_allocated,competition_events,trees_pruned,trees_planted,selection_rate,disruption_type,disruption_severity,survival_rate,avg_training_loss,avg_learning_rate
1,1767473246.9927104,6,4.886853413216119,4.908633625745154,4.8778107366892165,0.010263627070799466,1,0.0,100,1,0,1,0.0,,0.0,1.0,0.863658587137858,0.01
2,1767473246.998748,7,4.789799085749607,4.875006793643916,4.75764654267113,0.03847774974802469,1,0.0,100,2,0,0,0.0,,0.0,1.0,0.9850474425724575,0.01
3,1767473247.0034506,7,4.673829839076375,4.74993621935498,4.6341282892353535,0.036505949809854436,1,0.0,100,3,0,0,0.0,,0.0,1.0,1.20978387764522,0.01
4,1767473247.008136,7,4.564981352409443,4.63363529760283,4.515707289148716,0.03285894240130308,1,0.0,100,4,0,0,0.0,,0.0,1.0,1.154658351625715,0.01
5,1767473247.013479,7,4.463187692885397,4.541999333971519,4.411928163686575,0.04000032223109401,1,0.0,100,5,0,0,0.0,,0.0,1.0,0.9987690321036747,0.01
6,1767473247.0182595,7,4.3580706594334915,4.425080264567188,4.298928794048456,0.04154204935135771,1,0.0,100,6,0,0,0.0,flood,0.4,1.0,1.2003855790410722,0.01
7,1767473247.0229938,7,4.248740018682322,4.310662102521194,4.192143911134827,0.03927411413267015,1,0.0,100,7,0,0,0.0,,0.0,1.0,1.4772286244801112,0.01
8,1767473247.0277185,7,4.151847414631644,4.199287880765549,4.103721814761114,0.03165913064694362,1,0.0,100,8,0,0,0.0,,0.0,1.0,1.1253815037863595,0.01
9,1767473247.0324275,7,4.060969545401728,4.1099067658116555,4.011812181030005,0.029902644411124904,1,0.0,100,9,0,0,0.0,,0.0,1.0,0.9739958473614284,0.01
10,1767473247.0371246,7,3.9743108042430193,4.058710176076798,3.91886599942834,0.04288443491211712,1,0.0,100,10,0,0,0.0,,0.0,1.0,1.0085412178720747,0.01
11,1767473247.0419192,7,3.884015156927532,3.9675522128837146,3.8367295730367297,0.04202206508651085,1,0.0,100,11,2,0,0.2857142857142857,flood,0.4,1.0,1.0674686602183752,0.01
12,1767473247.045873,5,3.810096272190458,3.874327507368327,3.7768581491920026,0.03669606418791581,1,0.0,100,12,0,0,0.0,,0.0,1.0,1.1325425624847412,0.01
13,1767473247.049381,5,3.7235106489472103,3.7861529806463534,3.6927464768216507,0.03454455209438618,1,0.0,100,13,0,1,0.0,,0.0,1.0,1.107795822620392,0.01
14,1767473247.0545857,6,3.8492522160190537,4.874244651238157,3.605088287011053,0.4597382913820128,1,0.0,100,14,0,0,0.0,,0.0,1.0,1.0087214509646099,0.01
15,1767473247.058749,6,3.7660464396424835,4.749849352768978,3.5304546615268038,0.44120320930242174,1,0.0,100,15,0,0,0.0,,0.0,1.0,0.9601685305436453,0.01
16,1767473247.0629148,6,3.6791414558115405,4.637686167684775,3.4593256077000047,0.42982996655239647,1,0.0,100,16,0,0,0.0,flood,0.4,1.0,1.2207594215869904,0.01
17,1767473247.067017,6,3.5961421639174844,4.520948767867003,3.3840806106990584,0.4144833230694752,1,0.0,100,17,0,0,0.0,,0.0,1.0,1.1693126956621807,0.01
18,1767473247.0711114,6,3.5271780278780813,4.431300675318585,3.309583858215625,0.40517376559343876,1,0.0,100,18,0,0,0.0,,0.0,1.0,0.8273716568946838,0.01
19,1767473247.07519,6,3.4639177231367078,4.373519669630064,3.2590606012676018,0.4073124586891971,1,0.0,100,19,0,0,0.0,,0.0,1.0,0.8239453285932541,0.01
20,1767473247.0792375,6,3.387119011139113,4.269997473278037,3.186035071377919,0.3952305418164955,1,0.0,100,20,0,0,0.0,,0.0,1.0,1.1504695514837902,0.01
21,1767473247.0833738,6,3.322046156023008,4.181439559577625,3.131604861890121,0.38456740831437936,1,0.0,100,21,1,0,0.16666666666666666,flood,0.4,1.0,0.8700185815493265,0.01
22,1767473247.0872958,5,3.2871063472517106,4.077808805967155,3.0789514340744213,0.3954299317613137,1,0.0,100,22,0,0,0.0,,0.0,1.0,1.1348069071769715,0.01
23,1767473247.090787,5,3.2207732297679557,4.000979280451727,3.0053324341646626,0.39035613923123436,1,0.0,100,23,0,0,0.0,,0.0,1.0,1.0365326285362244,0.01
24,1767473247.0942998,5,3.151547658655366,3.917550247158707,2.9322720466645267,0.3835248281024102,1,0.0,100,24,0,0,0.0,,0.0,1.0,1.1968898057937623,0.01
25,1767473247.0977838,5,3.0878182974805064,3.8435292785541826,2.872146245895893,0.3783707414376741,1,0.0,100,25,0,1,0.0,,0.0,1.0,1.0361783623695373,0.01
26,1767473247.1037605,6,3.3273488763276444,4.871439633199988,2.8145992460609772,0.7684974366246798,1,0.0,100,26,0,0,0.0,flood,0.4,1.0,1.3397188782691956,0.01
27,1767473247.1081007,6,3.2670216164228947,4.745989184943205,2.754638782872992,0.7414987605296536,1,0.0,100,27,0,0,0.0,,0.0,1.0,0.9041419972976049,0.01
28,1767473247.112258,6,3.1979014970712663,4.635390567421813,2.6970914204138703,0.7181795013853882,1,0.0,100,28,0,0,0.0,,0.0,1.0,1.1354490121205647,0.01
29,1767473247.1163893,6,3.1303785382864504,4.520017067692336,2.6513323444949024,0.6976280139545755,1,0.0,100,29,0,0,0.0,,0.0,1.0,1.1749593416849773,0.01
30,1767473247.1205447,6,3.0764866796772963,4.430008139176007,2.6035993364813868,0.6887903037732245,1,0.0,100,30,0,0,0.0,,0.0,1.0,0.9229620893796285,0.01
31,1767473247.125062,6,3.0140491631833597,4.316301550134093,2.5484451070925833,0.6643975098737289,1,0.0,100,31,1,0,0.16666666666666666,flood,0.4,1.0,1.0786376694838207,0.01
32,1767473247.1289651,5,3.045490255028297,4.236352025955176,2.538985715112585,0.6753570754983319,1,0.0,100,32,0,0,0.0,,0.0,1.0,1.1255818247795104,0.01
33,1767473247.132437,5,2.982737110693524,4.13898557730186,2.485409924065895,0.656152433725687,1,0.0,100,33,0,0,0.0,,0.0,1.0,1.1394742012023926,0.01
34,1767473247.1361313,5,2.9278931351115656,4.034558497825717,2.4439019644508293,0.6255643107063562,1,0.0,100,34,0,0,0.0,,0.0,1.0,1.0313361704349517,0.01
35,1767473247.139625,5,2.869404185859207,3.9412624759940975,2.4113119819000732,0.6034148513566964,1,0.0,100,35,0,0,0.0,,0.0,1.0,1.1153902888298035,0.01
36,1767473247.1431875,5,2.8176065459131787,3.85919947725508,2.3586582757945087,0.5879357428251588,1,0.0,100,36,0,0,0.0,flood,0.4,1.0,0.9472338795661926,0.01
37,1767473247.1466765,5,2.7604711367699375,3.770837325616021,2.323820068747037,0.5695500725042312,1,0.0,100,37,0,1,0.0,,0.0,1.0,1.2164199590682983,0.01
