generation,timestamp,num_trees,avg_fitness,max_fitness,min_fitness,fitness_std,unique_architectures,avg_tree_age,total_data_allocated,competition_events,trees_pruned,trees_planted,selection_rate,disruption_type,disruption_severity,survival_rate,avg_training_loss,avg_learning_rate
1,1767473247.1730766,7,4.874321146935983,4.881382141891441,4.86804780057925,0.004347178597000818,1,0.0,100,1,0,1,0.0,,0.0,1.0,1.2745118056024825,0.01
2,1767473247.180511,8,4.775208308691207,4.877521881867578,4.74484939729931,0.041522522723634395,1,0.0,100,2,0,0,0.0,,0.0,1.0,1.051038734614849,0.01
3,1767473247.1858482,8,4.662696398047384,4.754312689647865,4.6237726879930845,0.038443632909739345,1,0.0,100,3,0,0,0.0,,0.0,1.0,1.1800340488553047,0.01
4,1767473247.1909647,8,4.559103666704333,4.647086421337733,4.503194148244383,0.04045635263277035,1,0.0,40,4,0,0,0.0,drought,0.6,1.0,1.1060526594519615,0.01
5,1767473247.1963282,8,4.457921573387255,4.54232528963237,4.409238470225461,0.036760793373455086,1,0.0,100,5,0,0,0.0,,0.0,1.0,0.896033950150013,0.01
6,1767473247.2016275,8,4.359529135748108,4.439523693796786,4.305897818533745,0.03981634798070665,1,0.0,100,6,0,0,0.0,,0.0,1.0,0.921340823173523,0.01
7,1767473247.2071242,8,4.267613861666231,4.336909557240499,4.230469390534086,0.030933830680369454,1,0.0,100,7,0,0,0.0,flood,0.5,1.0,0.8509224504232407,0.01
8,1767473247.2124317,8,4.168484872690403,4.23847111678105,4.126801328095217,0.0362800340309754,1,0.0,100,8,0,0,0.0,,0.0,1.0,1.142693467438221,0.01
9,1767473247.2177293,8,4.07895841957217,4.13240588964733,4.015659887979968,0.037522435346328244,1,0.0,100,9,0,0,0.0,,0.0,1.0,1.1186778284609318,0.01
10,1767473247.2231133,8,3.9934872368673138,4.048584460066018,3.949591987351017,0.03535906423512692,1,0.0,100,10,0,0,0.0,,0.0,1.0,0.862171471118927,0.01
11,1767473247.2284284,8,3.908020599664413,3.961115612668268,3.864344615389595,0.03345485693516574,1,0.0,100,11,0,0,0.0,,0.0,1.0,0.9529162719845772,0.01
12,1767473247.233654,8,3.8361648032765414,3.9512996322503735,3.779936134017365,0.05295049942353509,1,0.0,40,12,0,0,0.0,drought,0.6,1.0,1.0273554138839245,0.01
