generation,timestamp,num_trees,avg_fitness,max_fitness,min_fitness,fitness_std,unique_architectures,avg_tree_age,total_data_allocated,competition_events,trees_pruned,trees_planted,selection_rate,disruption_type,disruption_severity,survival_rate,avg_training_loss,avg_learning_rate
1,1767473247.454201,9,4.887883375368944,4.91938075799758,4.870781710488322,0.01546732784703772,1,0.0,100,1,0,2,0.0,,0.0,1.0,0.9256269170178307,0.01
2,1767473247.4641066,11,4.796171968291856,4.898184910395056,4.748752744567155,0.04692794993599365,1,0.0,100,2,0,0,0.0,,0.0,1.0,1.095613414591009,0.01
3,1767473247.471301,11,4.684345774349335,4.7901476936251255,4.636134720465897,0.04779224857488051,1,0.0,100,3,0,0,0.0,,0.0,1.0,1.0353778709064831,0.01
4,1767473247.4784524,11,4.579251794263718,4.662088799727493,4.523837450148993,0.0446619327591598,1,0.0,100,4,0,0,0.0,,0.0,1.0,1.0103341801600023,0.01
5,1767473247.4855707,11,4.491015836153884,4.669462843643463,4.421815156249637,0.06929245280136809,1,0.0,100,5,0,0,0.0,,0.0,1.0,0.8901292397217317,0.01
6,1767473247.4926832,11,4.389035840837337,4.5940338525350795,4.307751940524614,0.07417284368853307,1,0.0,100,6,0,0,0.0,,0.0,1.0,1.2187404334545135,0.01
7,1767473247.4998825,11,4.28672019007664,4.47674310192316,4.236341691516217,0.06529935544456643,1,0.0,100,7,0,0,0.0,,0.0,1.0,1.2937852117148312,0.01
8,1767473247.5069592,11,4.195199219276309,4.3733066308060495,4.125258561796707,0.06341648915380207,1,0.0,100,8,4,0,0.36363636363636365,,0.0,1.0,0.9534426250241019,0.01
9,1767473247.5124726,7,4.126450395449694,4.283790899475353,4.073439066089877,0.06721505971003933,1,0.0,100,9,0,0,0.0,,0.0,1.0,1.1426882232938493,0.01
10,1767473247.5173504,7,4.033710211197948,4.174852342042356,3.978631410795147,0.0609756619890412,1,0.0,100,10,0,0,0.0,,0.0,1.0,1.0484344363212585,0.01
11,1767473247.5220695,7,3.95545754565125,4.066285947739583,3.9103248671638156,0.04913846676234428,1,0.0,100,11,0,2,0.0,,0.0,1.0,0.9500910001141685,0.01
12,1767473247.531014,9,4.088809425880158,4.899154684682949,3.8130958838493973,0.4284332755951905,1,0.0,100,12,0,0,0.0,,0.0,1.0,1.2395067744784884,0.01
13,1767473247.5370424,9,3.9935041989564715,4.782775139587622,3.7256606466903834,0.41881337073244795,1,0.0,100,13,0,0,0.0,,0.0,1.0,1.1795300907558866,0.01
14,1767473247.5430152,9,3.911457609776949,4.699046730766188,3.6342416804232562,0.41127631813804844,1,0.0,100,14,0,0,0.0,,0.0,1.0,1.0682255228360493,0.01
15,1767473247.548995,9,3.8367675817122904,4.588938709209754,3.5450558303726925,0.39549590789629485,1,0.0,100,15,3,0,0.3333333333333333,,0.0,1.0,1.1281999680731032,0.01
16,1767473247.5535805,6,3.898000242840442,4.514483439423853,3.5385800723600895,0.41238076440732285,1,0.0,100,16,0,0,0.0,,0.0,1.0,0.7608679483334223,0.01
