generation,timestamp,num_trees,avg_fitness,max_fitness,min_fitness,fitness_std,unique_architectures,avg_tree_age,total_data_allocated,competition_events,trees_pruned,trees_planted,selection_rate,disruption_type,disruption_severity,survival_rate,avg_training_loss,avg_learning_rate
1,1767473247.984372,6,4.875551805463629,4.883706660894639,4.865762281772146,0.00550021724341648,6,0.0,100,1,0,1,0.0,,0.0,1.0,1.2413811286290486,0.01
2,1767473247.9923217,7,4.77793250166364,4.88119833049991,4.742429899673738,0.047596394960676885,6,0.0,100,2,0,0,0.0,,0.0,1.0,1.2388076399053847,0.01
3,1767473247.9990482,7,4.678593843927291,4.788630562410546,4.636490841258006,0.04842255018063075,6,0.0,100,3,0,0,0.0,,0.0,1.0,0.8472855303968702,0.01
4,1767473248.0056372,7,4.565077130204588,4.664823000147719,4.51621818146132,0.04419986786481541,6,0.0,100,4,0,0,0.0,,0.0,1.0,1.259069093636104,0.01
5,1767473248.0123124,7,4.457049245272054,4.552564597200351,4.40926275108685,0.04269339243366584,6,0.0,100,5,0,0,0.0,,0.0,1.0,1.0873271993228368,0.01
6,1767473248.0189338,7,4.355495276546138,4.460590695294594,4.2979397523658145,0.04996402034291336,6,0.0,100,6,0,0,0.0,,0.0,1.0,1.0796868715967451,0.01
7,1767473248.0256112,7,4.252762223656118,4.373151533344759,4.19403172121949,0.054088998504762835,6,0.0,100,7,0,0,0.0,,0.0,1.0,1.259795801980155,0.01
8,1767473248.0324798,7,4.153654760338658,4.255035885928848,4.092269725559661,0.05025965400531198,6,0.0,100,8,0,0,0.0,,0.0,1.0,1.2533956255231584,0.01
9,1767473248.039172,7,4.052299943344665,4.149234046223457,3.990659039478416,0.04732117635902358,6,0.0,100,9,0,0,0.0,,0.0,1.0,1.3793088453156608,0.01
10,1767473248.0457895,7,3.9632055087150397,4.052599705828797,3.889429028217466,0.047193814345678785,6,0.0,100,10,0,0,0.0,,0.0,1.0,1.0665233475821358,0.01
11,1767473248.053116,7,3.8868742357488384,3.966128477061599,3.827523837286281,0.03874803292350158,6,0.0,60,11,0,0,0.0,drought,0.4,1.0,0.8507262553487506,0.01
12,1767473248.0599205,7,3.8079153201843354,3.8817173156974234,3.769651560026811,0.03469445350665269,6,0.0,100,12,0,0,0.0,,0.0,1.0,0.8795462421008519,0.01
13,1767473248.0665288,7,3.7301606439654766,3.785172082948082,3.689020418528788,0.03251491301790569,6,0.0,100,13,2,0,0.2857142857142857,,0.0,1.0,0.967177369764873,0.01
14,1767473248.0716908,5,3.663960080298582,3.702099117083695,3.622685603099118,0.0321043254282031,4,0.0,100,14,0,0,0.0,,0.0,1.0,1.1881805598735808,0.01
15,1767473248.0763056,5,3.5826542958819445,3.6187599525934613,3.5411256111604863,0.033279673998757656,4,0.0,100,15,0,0,0.0,,0.0,1.0,1.101944887638092,0.01
